Name,الأسم,Type,نوع التصنيف,Subtype,نوع التصنيف الفرعي,Block,X Longitude,Y Latitude,Location
CPIC ABAHSAIN FIBERGLASS,سي بي آي سي أباحسين فيبرجلاس,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.67876503,26.21728573,"26.21728573, 50.67876503"
GULF BIOTECH COMPANY,شركة الخليج للتقنية الحيوية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.68046012,26.21727756,"26.21727756, 50.68046012"
AL ANZAROUTI FOOD INDUSTRY COMPANY,شركة العنزروتي للصناعات الغذائية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.68284255,26.22296796,"26.22296796, 50.68284255"
GULF PLASTIC COMPANY,شركة بلاستيك الخليج,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66523859,26.21384987,"26.21384987, 50.66523859"
QUALITY WIRE PRODUCTS COMPANY,شركة كوالتي واير برودكتس,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.6651565,26.21431956,"26.21431956, 50.6651565"
LAUSCHA FIBER INTERNATIONAL BAHRAIN,لوشا فيبر انترناشيونال البحرين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.681292,26.216706,"26.216706, 50.681292"
MAK FOR FOOD INDUSTRY,ماك لصناعة المواد الغذائية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66713229,26.22330024,"26.22330024, 50.66713229"
RMA PIPELINE EQUIPMENT MIDDLE EAST FACTORY,مصنع ار ام ايه ميدل ايست,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.6628589,26.21388135,"26.21388135, 50.6628589"
ALAA INDUSTRIAL EQUIPMENT FACTORY - AFI,مصنع الاء للمعدات الصناعية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.68711114,26.22233427,"26.22233427, 50.68711114"
BAHRAIN INDUSTRIAL FILTERS MFG.,مصنع البحرين للمرشحات الصناعية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.6729663,26.22372495,"26.22372495, 50.6729663"
AL JAZEERAH ROASTERY,مصنع الجزيرة للحلويات,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66739192,26.22261739,"26.22261739, 50.66739192"
BOX MAKERS,مصنع بوكس ميكرز,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.6621816,26.21533854,"26.21533854, 50.6621816"
DELTA CABLES FACTORY BAHRAIN,مصنع دلتا للكابلات البحرين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.68313008,26.2224239,"26.2224239, 50.68313008"
DEVJI AURUM GOLD AND DIAMOND FACTORY,مصنع ديفجي أوروم للذهب والألماس,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.67656141,26.21921589,"26.21921589, 50.67656141"
GREEN GEOEARTH,مصنع غرين جيو إيرث,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66873702,26.21915862,"26.21915862, 50.66873702"
GULF SHADE FACTORY,مصنع مظلات الخليج,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66921523,26.21792888,"26.21792888, 50.66921523"
